0,11044,45813
1,11044,65766
1,9521,72531
1,9521,72531
1,9521,72531
1,10339,65338
1,9521,72531
0,154,74430
0,9669,59618
1,7315,77213
1,7315,77213
1,7315,77213
1,9521,48927
1,9521,70554
1,10239,56084
1,10239,51094
1,10239,47454
1,10239,41076
1,10239,70037
1,9698,56459
1,9722,69078
0,9333,37106
0,9335,37106
1,8508,44383
1,8508,69691
1,8508,49586
1,8508,69806
1,9521,58047
1,9521,69585
1,9521,46824
1,9521,40827
1,9521,35070
1,9521,54507
1,9521,69508
1,9521,74737
0,11132,61279
0,11077,61279
1,10681,67884
1,10057,67884
0,7173,60403
0,7173,45880
0,10004,45880
1,10792,61707
1,10792,61707
1,8508,42247
1,10412,69063
1,9063,74413
1,8796,37876
1,8796,70189
1,9620,49600
1,9620,75576
1,9620,48405
1,9620,69938
1,9620,54745
1,9620,65691
1,9620,71310
1,9620,64760
1,9620,50569
1,9620,53560
1,9620,48201
1,9620,68457
1,9620,49442
1,9620,52521
1,9620,49352
1,9620,55902
1,9620,51793
1,9620,58192
1,9620,58192
0,7341,62690
1,9814,67249
1,9620,71310
1,9620,71310
1,9620,71310
1,9683,64529
1,9667,64529
1,9656,64529
1,10239,64529
1,10786,64529
1,9620,70899
1,10283,48273
1,9620,70758
0,10616,56748
0,11336,73259
1,9335,54287
1,9335,39418
1,9335,36428
1,9335,57374
1,9335,74044
1,9335,65109
1,9335,37910
1,9335,34785
0,9722,34061
0,9722,67176
0,9722,62808
0,9722,44353
1,11336,37122
1,9063,64354
1,9063,58507
1,9063,41097
1,9063,40384
1,9063,66728
1,9063,36389
1,9698,64993
1,9698,54360
1,9698,36959
1,9698,54811
1,9698,68665
1,9698,52948
1,9698,65730
1,9698,51256
1,9698,48861
1,9698,56459
1,9698,65338
1,9698,60268
1,9698,67884
1,9698,70747
1,9698,37244
1,9698,70272
1,9722,53605
1,9722,40925
1,9722,52456
1,9620,65057
1,528,68665
1,588,68665
1,10283,54789
0,10161,51593
1,9620,41025
1,10792,65177
1,10792,53043
1,10792,49188
1,10792,54721
1,10792,40454
